Ruta,Territorio,Subdireccion,Zona,Sucursal,Marca,Base,Unidad de Negocio,País,Region,Sucursal Original,Nomenclatura
BARRANQUILLA-PCO-R1,NO APLICA,Colombia,Colombia,Barranquilla Presico,Presico,Presico,Présico LATAM,Colombia,Sudamerica,Barranquilla Presico,P
BARRANQUILLA-PCO-R2,NO APLICA,Colombia,Colombia,Barranquilla Presico,Presico,Presico,Présico LATAM,Colombia,Sudamerica,Barranquilla Presico,P
CAJICA-PCO-R1,NO APLICA,Colombia,Colombia,Cajica Presico,Presico,Presico,Présico LATAM,Colombia,Sudamerica,Cajica Presico,P
CAJICA-PCO-R2,NO APLICA,Colombia,Colombia,Cajica Presico,Presico,Presico,Présico LATAM,Colombia,Sudamerica,Cajica Presico,P
CAJICA-PCO-R3,NO APLICA,Colombia,Colombia,Cajica Presico,Presico,Presico,Présico LATAM,Colombia,Sudamerica,Cajica Presico,P
CAJICA-PCO-R4,NO APLICA,Colombia,Colombia,Cajica Presico,Presico,Presico,Présico LATAM,Colombia,Sudamerica,Cajica Presico,P
FLORIDABLANCA PCO-R1,NO APLICA,Colombia,Colombia,Floridablanca Presico,Presico,Presico,Présico LATAM,Colombia,Sudamerica,Floridablanca Presico,P
IBAGUE-PCO-R1,NO APLICA,Colombia,Colombia,Ibague Presico,Presico,Presico,Présico LATAM,Colombia,Sudamerica,Ibague Presico,P
IBAGUE-PCO-R2,NO APLICA,Colombia,Colombia,Ibague Presico,Presico,Presico,Présico LATAM,Colombia,Sudamerica,Ibague Presico,P
IBAGUE-PCO-R3,NO APLICA,Colombia,Colombia,Ibague Presico,Presico,Presico,Présico LATAM,Colombia,Sudamerica,Ibague Presico,P
NEIVA-PCO-R1,NO APLICA,Colombia,Colombia,Neiva Presico,Presico,Presico,Présico LATAM,Colombia,Sudamerica,Neiva Presico,P
SINCELEJO-PCO-R1,NO APLICA,Colombia,Colombia,Sincelejo Presico,Presico,Presico,Présico LATAM,Colombia,Sudamerica,Sincelejo Presico,P
SINCELEJO-PCO-R2,NO APLICA,Colombia,Colombia,Sincelejo Presico,Presico,Presico,Présico LATAM,Colombia,Sudamerica,Sincelejo Presico,P
SINCELEJO-PCO-R3,NO APLICA,Colombia,Colombia,Sincelejo Presico,Presico,Presico,Présico LATAM,Colombia,Sudamerica,Sincelejo Presico,P
TUNJA-PCO-R1,NO APLICA,Colombia,Colombia,Tunja Presico,Presico,Presico,Présico LATAM,Colombia,Sudamerica,Tunja Presico,P
TUNJA-PCO-R2,NO APLICA,Colombia,Colombia,Tunja Presico,Presico,Presico,Présico LATAM,Colombia,Sudamerica,Tunja Presico,P
TUNJA-PCO-R3,NO APLICA,Colombia,Colombia,Tunja Presico,Presico,Presico,Présico LATAM,Colombia,Sudamerica,Tunja Presico,P
AHUACHAPAN-MS-R1,NO APLICA,El Salvador,Occidente,Ahuachapan Pistiyo M-PY,La Moderna,La Moderna,Présico LATAM,El Salvador,Centroamérica,Ahuachapan Pistiyo,M
AHUACHAPAN-P-R1,NO APLICA,El Salvador,Occidente,Ahuachapan Pistiyo M-PY,Pistiyo,Pistiyo,Présico LATAM,El Salvador,Centroamérica,Ahuachapan Pistiyo,PY
AHUACHAPAN-P-R2,NO APLICA,El Salvador,Occidente,Ahuachapan Pistiyo M-PY,Pistiyo,Pistiyo,Présico LATAM,El Salvador,Centroamérica,Ahuachapan Pistiyo,PY
AHUACHAPAN-P-R3,NO APLICA,El Salvador,Occidente,Ahuachapan Pistiyo M-PY,Pistiyo,Pistiyo,Présico LATAM,El Salvador,Centroamérica,Ahuachapan Pistiyo,PY
CHALATENANGO-MS-R1,NO APLICA,El Salvador,Occidente,Chalatenango La Moderna,La Moderna,La Moderna,Présico LATAM,El Salvador,Centroamérica,Chalatenango La Moderna,M
